1194D,GROUND MAINTENANCE SERVICE,21.304261,-157.813422
1194E,MAINTENANCE GARAGE AND STORAGE,21.304351,-157.813543
1194G,MAINTENANCE SHOP STORAGE,21.304454,-157.813194
1195A,MAINTENANCE WAREHOUSE ANNEX,21.304158,-157.812447
1195C,BIOPHYSICS LAB (PBRC) WAREHOUSE,21.303403,-157.813018
1198A,ST. JOHN PLANT SCIENCE LABORATORY 1,21.301628,-157.815415
1198B,ST. JOHN PLANT SCIENCE LABORATORY 2,21.301668,-157.814794
1199C,HAMILTON LIBRARY PHASE 3,21.301004,-157.816713
1199D,HAMILTON LIBRARY MECHANICAL BUILDING,21.300502,-157.816485
1202A,MALAMA 1,21.304454,-157.8141
1202B,MALAMA 2,21.304387,-157.814033
1202C,MALAMA 3,21.304704,-157.81439
1202D,MALAMA 4,21.304786,-157.81443
1203A,2570 DOLE STREET ANNEX 1,21.29686,-157.813957
1203B,2570 DOLE STREET ANNEX 2,21.29707,-157.814064
1210A,AGRICULTURAL SCIENCE MECHANICAL BUILDING,21.302473,-157.813774
1211C,FREAR HALL,21.295386,-157.81375
9620A1,KAUIOKAHALOA NUI FAC APT - BLDG G,21.307828,-157.80826
9620A10,KAUIOKAHALOA NUI FAC APT - BLDG L,21.307513,-157.807734
9620A2,KAUIOKAHALOA NUI FAC APT - BLDG B,21.308481,-157.807917
9620A3,KAUIOKAHALOA NUI FAC APT - BLDG E,21.307989,-157.80811
9620A4,KAUIOKAHALOA NUI FAC APT - BLDG D,21.308188,-157.807825
9620A5,KAUIOKAHALOA NUI FAC APT - BLDG O,21.307818,-157.806822
9620A6,KAUIOKAHALOA NUI FAC APT - BLDG M,21.307313,-157.807503
9620A7,KAUIOKAHALOA NUI FAC APT - BLDG K,21.307038,-157.807879
9620A8,KAUIOKAHALOA NUI FAC APT - BLDG J,21.306983,-157.808308
9620A9,KAUIOKAHALOA NUI FAC APT - BLDG I,21.307343,-157.80811
9620B1,KAUIOKAHALOA NUI FAC APT - BLDG F,21.308143,-157.808426
